"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25, 2019","105,382.47","107,193.15","107,845.98","105,222.12","2.24B","-1.13%"
"Nov 22, 2019","106,588.41","107,108.90","107,495.08","106,019.77","1.56B","-0.20%"
"Nov 21, 2019","106,805.20","106,802.94","107,306.97","106,314.92","1.77B","0.02%"
"Nov 20, 2019","106,785.08","107,340.46","108,142.19","106,653.93","2.20B","-0.69%"
"Nov 19, 2019","107,528.68","107,196.64","107,769.77","106,633.71","1.93B","0.64%"
"Nov 18, 2019","106,846.18","105,902.43","107,222.38","105,902.43","2.03B","1.39%"
"Nov 15, 2019","105,379.71","104,474.89","105,517.87","104,408.95","1.51B","1.54%"
"Nov 14, 2019","103,780.58","104,306.92","105,164.71","103,308.50","1.78B","-1.00%"
"Nov 13, 2019","104,828.18","104,049.94","105,025.19","103,682.44","1.64B","0.82%"
"Nov 12, 2019","103,972.36","103,452.32","104,428.34","103,452.32","1.95B","0.83%"
"Nov 11, 2019","103,118.48","102,921.71","103,841.08","102,368.94","1.41B","-0.03%"
"Nov 08, 2019","103,153.20","103,446.23","104,017.78","103,020.77","1.73B","-0.38%"
"Nov 07, 2019","103,544.35","101,812.27","103,544.35","101,812.27","1.76B","2.37%"
"Nov 06, 2019","101,143.74","100,672.39","101,598.87","100,368.45","1.57B","0.62%"
"Nov 05, 2019","100,525.32","100,146.50","100,693.88","99,847.66","1.54B","0.44%"
"Nov 04, 2019","100,087.79","99,267.44","100,440.52","99,143.94","1.31B","1.65%"
"Nov 01, 2019","98,462.73","98,689.69","98,813.59","97,678.55","1.14B","-0.01%"
